CUST_ID,NAME,CITY,TIER,ORDER_ID,AMOUNT,ORDER_DATE,MATCH_FLAG
\N,\N,\N,\N,\N,\N,\N,ORPHAN
\N,,,\N,\N,\N,\N,NO_ORDERS
7,PRIOR RUN CO,GEELONG,GOLD,900,12.0,2026-07-31,MATCHED
8,OLD ORPHAN,\N,\N,901,5.0,2026-07-31,ORPHAN
10,ǄURĐA ĆOSIĆ — 東京商事,ÜRÜMQI,PLATINUM,3001,-0.0,2024-02-29,MATCHED
11,WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,TTTTTTTTTT,3002,0.005,2026-08-31,MATCHED
12,DUP CUSTOMER,DUPVILLE,GOLD,3003,10.0,2026-01-31,MATCHED
12,DUP CUSTOMER,DUPVILLE,GOLD,3003,10.0,2026-01-31,MATCHED
12,DUP CUSTOMER,DUPVILLE,GOLD,3003,10.0,2026-01-31,MATCHED
12,DUP CUSTOMER,DUPVILLE,GOLD,3003,10.0,2026-01-31,MATCHED
12,DUP CUSTOMER,DUPVILLE,GOLD,3004,77.0,\N,MATCHED
12,DUP CUSTOMER,DUPVILLE,GOLD,3004,77.0,\N,MATCHED
13,\N,\N,\N,3005,\N,\N,ORPHAN
