CUST_ID,NAME,CITY,TIER,ORDER_ID,AMOUNT,ORDER_DATE,MATCH_FLAG
1,ACME CORPORATION,BRISBANE,GOLD,1001,150.0,2026-08-03,MATCHED
1,ACME CORPORATION,BRISBANE,GOLD,1002,75.5,2026-08-04,MATCHED
2,BOLT LTD,SYDNEY,SILVER,1003,220.25,2026-08-05,MATCHED
2,BOLT LTD,SYDNEY,SILVER,1008,\N,2026-08-11,MATCHED
3,CINDER WORKS,PERTH,BRONZE,1004,\N,2026-08-06,MATCHED
3,CINDER WORKS,PERTH,BRONZE,1005,310.0,\N,MATCHED
4,DELTA PTY,HOBART,GOLD,\N,\N,\N,NO_ORDERS
5,,DARWIN,SILVER,1009,10.0,2026-08-12,MATCHED
6,ECHO SUPPLIES,ADELAIDE,BRONZE,1007,99.99,2026-08-10,MATCHED
7,PRIOR RUN CO,GEELONG,GOLD,900,12.0,2026-07-31,MATCHED
8,OLD ORPHAN,\N,\N,901,5.0,2026-07-31,ORPHAN
99,\N,\N,\N,1006,45.0,2026-08-07,ORPHAN
